Lines of code metrics,Fr., 11 Apr. 2025 12:32:19 MESZ
Method,CLOC,JLOC,LOC,NCLOC,RLOC
ch.unibas.dmi.dbis.cs108.client.core.rules.Rule.isApplicable(GameState),0,n/a,n/a,1,"25,00%"
ch.unibas.dmi.dbis.cs108.client.core.rules.RuleProcessor.RuleProcessor(),0,0,3,3,"18,75%"
ch.unibas.dmi.dbis.cs108.client.core.rules.RuleProcessor.addRule(Rule),0,0,3,3,"18,75%"
ch.unibas.dmi.dbis.cs108.client.core.rules.RuleProcessor.processRules(GameState),0,0,7,7,"43,75%"
ch.unibas.dmi.dbis.cs108.client.core.state.GameState.GameState(),0,0,6,6,"6,90%"
ch.unibas.dmi.dbis.cs108.client.core.state.GameState.addPlayer(Player),0,0,3,3,"3,45%"
"ch.unibas.dmi.dbis.cs108.client.core.state.GameState.buyTile(Player, Tile)",1,0,15,14,"17,24%"
ch.unibas.dmi.dbis.cs108.client.core.state.GameState.getBoard(),0,0,3,3,"3,45%"
ch.unibas.dmi.dbis.cs108.client.core.state.GameState.getCurrentGameRound(),0,0,3,3,"3,45%"
ch.unibas.dmi.dbis.cs108.client.core.state.GameState.getCurrentGameRoundNumber(),0,0,3,3,"3,45%"
ch.unibas.dmi.dbis.cs108.client.core.state.GameState.getCurrentPlayerRound(),0,0,3,3,"3,45%"
ch.unibas.dmi.dbis.cs108.client.core.state.GameState.getCurrentPlayerRoundNumber(),0,0,3,3,"3,45%"
ch.unibas.dmi.dbis.cs108.client.core.state.GameState.getGameRound(),0,0,3,3,"3,45%"
ch.unibas.dmi.dbis.cs108.client.core.state.GameState.getPlayerRound(),0,0,3,3,"3,45%"
ch.unibas.dmi.dbis.cs108.client.core.state.GameState.getPlayers(),0,0,3,3,"3,45%"
ch.unibas.dmi.dbis.cs108.client.core.state.GameState.nextTurn(),1,0,15,14,"17,24%"
ch.unibas.dmi.dbis.cs108.client.core.state.GameState.removePlayer(Player),0,0,3,3,"3,45%"
ch.unibas.dmi.dbis.cs108.client.core.state.GameState.setBoard(Board),0,0,3,3,"3,45%"
ch.unibas.dmi.dbis.cs108.client.core.state.GameState.setCurrentGameRoundNumber(int),0,0,3,3,"3,45%"
ch.unibas.dmi.dbis.cs108.client.core.state.GameState.setCurrentPlayerRoundNumber(int),0,0,3,3,"3,45%"
ch.unibas.dmi.dbis.cs108.client.core.state.GameState.setGameRound(GameRound),0,0,3,3,"3,45%"
ch.unibas.dmi.dbis.cs108.client.core.state.GameState.setPlayerRound(PlayerRound),0,0,3,3,"3,45%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.NetworkController(Player),0,0,7,7,"3,18%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.buyStatue(int),0,0,4,4,"1,82%"
"ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.buyTile(int, int)",0,0,4,4,"1,82%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.changeName(String),0,0,4,4,"1,82%"
"ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.connect(String, int)",0,0,22,22,"10,00%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.createLobby(String),0,0,4,4,"1,82%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.disconnect(),0,0,19,19,"8,64%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.endTurn(),0,0,4,4,"1,82%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.getGameState(),0,0,4,4,"1,82%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.getPrices(),0,0,4,4,"1,82%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.handleIncomingMessage(String),1,0,17,16,"7,73%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.isConnected(),0,0,3,3,"1,36%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.joinLobby(String),0,0,4,4,"1,82%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.leaveLobby(),0,0,4,4,"1,82%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.listAllPlayers(),0,0,4,4,"1,82%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.listLobbies(),0,0,4,4,"1,82%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.listLobbyPlayers(String),0,0,4,4,"1,82%"
"ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.placeStructure(int, int, int)",0,0,4,4,"1,82%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.register(),0,0,4,4,"1,82%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.sendGlobalChat(String),0,0,5,5,"2,27%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.sendLobbyChat(String),0,0,5,5,"2,27%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.sendPing(),0,0,9,9,"4,09%"
"ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.sendPrivateChat(String, String)",0,0,5,5,"2,27%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.setupMessageHandler(),0,0,16,16,"7,27%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.startGame(),0,0,4,4,"1,82%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.startPingScheduler(),0,0,16,16,"7,27%"
ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.stopPingScheduler(),0,0,6,6,"2,73%"
"ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.upgradeStatue(int, int, int)",0,0,4,4,"1,82%"
"ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.useFieldArtifact(int, int, int, String)",0,0,4,4,"1,82%"
"ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.usePlayerArtifact(int, String, String)",0,0,4,4,"1,82%"
"ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.useStatue(int, int, int, String)",0,0,4,4,"1,82%"
"ch.unibas.dmi.dbis.cs108.client.networking.NetworkController.useStructure(int, int, int, String)",0,0,4,4,"1,82%"
ch.unibas.dmi.dbis.cs108.client.networking.core.NetworkClient.MessageHandler.onDisconnect(Throwable),0,n/a,n/a,1,"14,29%"
ch.unibas.dmi.dbis.cs108.client.networking.core.NetworkClient.MessageHandler.onMessage(String),0,n/a,n/a,1,"14,29%"
"ch.unibas.dmi.dbis.cs108.client.networking.core.NetworkClient.connect(String, int)",4,n/a,n/a,1,"20,00%"
ch.unibas.dmi.dbis.cs108.client.networking.core.NetworkClient.disconnect(),3,n/a,n/a,1,"10,00%"
ch.unibas.dmi.dbis.cs108.client.networking.core.NetworkClient.isConnected(),4,n/a,n/a,1,"15,00%"
ch.unibas.dmi.dbis.cs108.client.networking.core.NetworkClient.send(String),4,n/a,n/a,1,"17,50%"
ch.unibas.dmi.dbis.cs108.client.networking.core.NetworkClient.setMessageHandler(MessageHandler),4,n/a,n/a,1,"15,00%"
ch.unibas.dmi.dbis.cs108.client.networking.core.SocketNetworkClient.SocketNetworkClient(),0,0,7,7,"6,14%"
"ch.unibas.dmi.dbis.cs108.client.networking.core.SocketNetworkClient.connect(String, int)",1,0,27,26,"23,68%"
ch.unibas.dmi.dbis.cs108.client.networking.core.SocketNetworkClient.disconnect(),0,0,15,15,"13,16%"
ch.unibas.dmi.dbis.cs108.client.networking.core.SocketNetworkClient.isConnected(),0,0,4,4,"3,51%"
ch.unibas.dmi.dbis.cs108.client.networking.core.SocketNetworkClient.notifyDisconnect(Throwable),0,0,8,8,"7,02%"
ch.unibas.dmi.dbis.cs108.client.networking.core.SocketNetworkClient.send(String),0,0,18,18,"15,79%"
ch.unibas.dmi.dbis.cs108.client.networking.core.SocketNetworkClient.setMessageHandler(MessageHandler),0,0,4,4,"3,51%"
ch.unibas.dmi.dbis.cs108.client.networking.core.SocketNetworkClient.startReaderThread(),0,0,21,21,"18,42%"
"ch.unibas.dmi.dbis.cs108.client.networking.events.ChatMessageEvent.ChatMessageEvent(String, String, ChatType)",4,7,12,5,"16,67%"
ch.unibas.dmi.dbis.cs108.client.networking.events.ChatMessageEvent.getContent(),3,4,7,3,"9,72%"
ch.unibas.dmi.dbis.cs108.client.networking.events.ChatMessageEvent.getSender(),3,4,7,3,"9,72%"
ch.unibas.dmi.dbis.cs108.client.networking.events.ChatMessageEvent.getTimestamp(),3,4,8,4,"11,11%"
ch.unibas.dmi.dbis.cs108.client.networking.events.ChatMessageEvent.getType(),3,4,7,3,"9,72%"
"ch.unibas.dmi.dbis.cs108.client.networking.events.ConnectionEvent.ConnectionEvent(ConnectionState, String)",4,6,10,4,"14,29%"
ch.unibas.dmi.dbis.cs108.client.networking.events.ConnectionEvent.getMessage(),4,5,8,3,"11,43%"
ch.unibas.dmi.dbis.cs108.client.networking.events.ConnectionEvent.getState(),4,5,8,3,"11,43%"
ch.unibas.dmi.dbis.cs108.client.networking.events.ConnectionEvent.getTimestamp(),4,5,9,4,"12,86%"
"ch.unibas.dmi.dbis.cs108.client.networking.events.ErrorEvent.ErrorEvent(String, String, ErrorSeverity)",4,7,12,5,"15,79%"
ch.unibas.dmi.dbis.cs108.client.networking.events.ErrorEvent.getErrorCode(),4,5,8,3,"10,53%"
ch.unibas.dmi.dbis.cs108.client.networking.events.ErrorEvent.getErrorMessage(),4,5,8,3,"10,53%"
ch.unibas.dmi.dbis.cs108.client.networking.events.ErrorEvent.getSeverity(),4,5,8,3,"10,53%"
ch.unibas.dmi.dbis.cs108.client.networking.events.ErrorEvent.getTimestamp(),4,5,9,4,"11,84%"
ch.unibas.dmi.dbis.cs108.client.networking.events.Event.getTimestamp(),3,n/a,n/a,1,"45,45%"
ch.unibas.dmi.dbis.cs108.client.networking.events.EventDispatcher.EventListener.getEventType(),4,n/a,n/a,1,"31,58%"
ch.unibas.dmi.dbis.cs108.client.networking.events.EventDispatcher.EventListener.onEvent(T),4,n/a,n/a,1,"31,58%"
ch.unibas.dmi.dbis.cs108.client.networking.events.EventDispatcher.dispatchEvent(T),4,6,18,12,"20,22%"
ch.unibas.dmi.dbis.cs108.client.networking.events.EventDispatcher.getInstance(),7,8,11,3,"12,36%"
"ch.unibas.dmi.dbis.cs108.client.networking.events.EventDispatcher.registerListener(Class<T>, EventListener<T>)",4,7,11,4,"12,36%"
ch.unibas.dmi.dbis.cs108.client.networking.events.EventDispatcher.unregisterListener(EventListener<T>),4,6,9,3,"10,11%"
"ch.unibas.dmi.dbis.cs108.client.networking.events.LobbyEvent.LobbyEvent(LobbyAction, String, String)",0,0,5,5,"18,52%"
ch.unibas.dmi.dbis.cs108.client.networking.events.LobbyEvent.getAction(),0,0,3,3,"11,11%"
ch.unibas.dmi.dbis.cs108.client.networking.events.LobbyEvent.getLobbyName(),0,0,3,3,"11,11%"
ch.unibas.dmi.dbis.cs108.client.networking.events.LobbyEvent.getPlayerName(),0,0,3,3,"11,11%"
ch.unibas.dmi.dbis.cs108.client.networking.events.LobbyEvent.getTimestamp(),0,0,4,4,"14,81%"
ch.unibas.dmi.dbis.cs108.client.networking.events.LobbyListEvent.LobbyListEvent(String),0,0,3,3,"21,43%"
ch.unibas.dmi.dbis.cs108.client.networking.events.LobbyListEvent.getLobbies(),0,0,3,3,"21,43%"
ch.unibas.dmi.dbis.cs108.client.networking.events.LobbyListEvent.getTimestamp(),0,0,4,4,"28,57%"
"ch.unibas.dmi.dbis.cs108.client.networking.events.NameChangeResponseEvent.NameChangeResponseEvent(boolean, String, String)",0,0,5,5,"21,74%"
ch.unibas.dmi.dbis.cs108.client.networking.events.NameChangeResponseEvent.getMessage(),0,0,3,3,"13,04%"
ch.unibas.dmi.dbis.cs108.client.networking.events.NameChangeResponseEvent.getNewName(),0,0,3,3,"13,04%"
ch.unibas.dmi.dbis.cs108.client.networking.events.NameChangeResponseEvent.getTimestamp(),0,0,4,4,"17,39%"
ch.unibas.dmi.dbis.cs108.client.networking.events.NameChangeResponseEvent.isSuccess(),0,0,3,3,"13,04%"
ch.unibas.dmi.dbis.cs108.client.networking.events.NameChangedEvent.NameChangedEvent(String),0,0,3,3,"21,43%"
ch.unibas.dmi.dbis.cs108.client.networking.events.NameChangedEvent.getNewName(),0,0,3,3,"21,43%"
ch.unibas.dmi.dbis.cs108.client.networking.events.NameChangedEvent.getTimestamp(),0,0,4,4,"28,57%"
ch.unibas.dmi.dbis.cs108.client.networking.events.NotificationEvent.NotificationEvent(String),0,0,3,3,"21,43%"
ch.unibas.dmi.dbis.cs108.client.networking.events.NotificationEvent.getMessage(),0,0,3,3,"21,43%"
ch.unibas.dmi.dbis.cs108.client.networking.events.NotificationEvent.getTimestamp(),0,0,4,4,"28,57%"
ch.unibas.dmi.dbis.cs108.client.networking.events.ReceiveCommandEvent.ReceiveCommandEvent(String),1,0,5,4,"15,62%"
"ch.unibas.dmi.dbis.cs108.client.networking.events.ReceiveCommandEvent.ReceiveCommandEvent(String, Commands)",1,0,5,4,"15,62%"
ch.unibas.dmi.dbis.cs108.client.networking.events.ReceiveCommandEvent.getMessage(),0,0,3,3,"9,38%"
ch.unibas.dmi.dbis.cs108.client.networking.events.ReceiveCommandEvent.getTimestamp(),2,3,7,4,"21,88%"
ch.unibas.dmi.dbis.cs108.client.networking.events.ReceiveCommandEvent.getType(),0,0,3,3,"9,38%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.ProtocolTranslator(EventDispatcher),0,0,4,4,"1,81%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatBuyStatue(int),0,0,3,3,"1,36%"
"ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatBuyTile(int, int)",0,0,3,3,"1,36%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatChangeName(String),0,0,3,3,"1,36%"
"ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatCreateLobby(String, String)",0,0,3,3,"1,36%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatDisconnect(String),0,0,3,3,"1,36%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatEndTurn(),0,0,3,3,"1,36%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatGetGameStatus(),1,0,4,3,"1,81%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatGetPrices(),1,0,4,3,"1,81%"
"ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatGlobalChatMessage(String, String)",0,0,3,3,"1,36%"
"ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatJoinLobby(String, String)",0,0,3,3,"1,36%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatLeaveLobby(String),0,0,3,3,"1,36%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatListAllPlayers(),0,0,3,3,"1,36%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatListLobbies(),0,0,3,3,"1,36%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatListLobbyPlayers(String),0,0,3,3,"1,36%"
"ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatLobbyChatMessage(String, String)",0,0,3,3,"1,36%"
"ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatPlaceStructure(int, int, int)",0,0,3,3,"1,36%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatPong(String),0,0,3,3,"1,36%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatRegister(String),0,0,3,3,"1,36%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatStartGame(),0,0,3,3,"1,36%"
"ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatUpgradeStatue(int, int, int)",0,0,3,3,"1,36%"
"ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatUseFieldArtifact(int, int, int, String)",0,0,3,3,"1,36%"
"ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatUsePlayerArtifact(int, String, String)",0,0,3,3,"1,36%"
"ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatUseStatue(int, int, int, String)",0,0,3,3,"1,36%"
"ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatUseStructure(int, int, int, String)",0,0,3,3,"1,36%"
"ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.formatWhisper(String, String, String)",0,0,3,3,"1,36%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.processErrorMessage(String),1,0,21,20,"9,50%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.processGlobalChatMessage(String),0,0,7,7,"3,17%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.processIncomingMessage(String),0,0,11,11,"4,98%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.processJoinMessage(String),0,0,7,7,"3,17%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.processLeaveMessage(String),0,0,7,7,"3,17%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.processLobbyChatMessage(String),0,0,7,7,"3,17%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.processLobbyListMessage(String),0,0,4,4,"1,81%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.processNameChangeMessage(String),0,0,6,6,"2,71%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.processNotificationMessage(String),0,0,4,4,"1,81%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.processPingMessage(String),1,0,3,2,"1,36%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.processPrivateChatMessage(String),0,0,7,7,"3,17%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.processShutdownMessage(String),0,0,4,4,"1,81%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.processStartGameMessage(String),0,0,6,6,"2,71%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.processSuccessMessage(String),3,0,18,15,"8,14%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.processTurnMessage(String),0,0,6,6,"2,71%"
ch.unibas.dmi.dbis.cs108.client.networking.protocol.ProtocolTranslator.registerHandlers(),0,0,16,16,"7,24%"
"ch.unibas.dmi.dbis.cs108.client.ui.SceneManager.SceneHolder.SceneHolder(Scene, Object)",0,0,4,4,"28,57%"
ch.unibas.dmi.dbis.cs108.client.ui.SceneManager.SceneHolder.getController(),0,0,3,3,"21,43%"
ch.unibas.dmi.dbis.cs108.client.ui.SceneManager.SceneHolder.getScene(),0,0,3,3,"21,43%"
ch.unibas.dmi.dbis.cs108.client.ui.SceneManager.SceneManager(ResourceLoader),1,0,4,3,"4,76%"
ch.unibas.dmi.dbis.cs108.client.ui.SceneManager.SceneType.SceneType(String),0,0,3,3,"25,00%"
ch.unibas.dmi.dbis.cs108.client.ui.SceneManager.SceneType.getPath(),0,0,3,3,"25,00%"
ch.unibas.dmi.dbis.cs108.client.ui.SceneManager.getController(SceneType),0,0,8,8,"9,52%"
ch.unibas.dmi.dbis.cs108.client.ui.SceneManager.getInstance(),0,0,10,10,"11,90%"
ch.unibas.dmi.dbis.cs108.client.ui.SceneManager.loadScene(SceneType),0,0,14,14,"16,67%"
ch.unibas.dmi.dbis.cs108.client.ui.SceneManager.setPrimaryStage(Stage),0,0,3,3,"3,57%"
ch.unibas.dmi.dbis.cs108.client.ui.SceneManager.switchToScene(SceneType),1,0,12,11,"14,29%"
ch.unibas.dmi.dbis.cs108.client.ui.components.UIComponent.UIComponent(String),0,0,10,10,"45,45%"
ch.unibas.dmi.dbis.cs108.client.ui.components.UIComponent.getView(),0,0,3,3,"13,64%"
"ch.unibas.dmi.dbis.cs108.client.ui.controllers.BaseController.BaseController(ResourceLoader, UIEventBus, SceneManager)",4,7,12,5,"38,71%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.GameScreenController.GameScreenController(),3,3,6,3,"1,13%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.GameScreenController.cleanup(),5,3,15,10,"2,84%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.GameScreenController.drawGame(),12,3,28,17,"5,29%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.GameScreenController.drawGameGrid(),8,3,26,18,"4,91%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.GameScreenController.drawGridDecorations(double),5,3,7,2,"1,32%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.GameScreenController.handleCardSelection(Pane),4,3,8,4,"1,51%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.GameScreenController.handleGameRound(),4,3,8,4,"1,51%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.GameScreenController.handleIncomingChatMessage(ChatMessageEvent),4,3,17,13,"3,21%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.GameScreenController.handleIncomingCommandMessage(ReceiveCommandEvent),6,3,100,95,"18,90%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.GameScreenController.handleIncomingConnectionEvent(ConnectionStatusEvent),4,3,17,13,"3,21%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.GameScreenController.handleIncomingErrorMessage(ErrorEvent),4,3,19,15,"3,59%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.GameScreenController.handleMessageSend(),7,3,27,20,"5,10%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.GameScreenController.handleNameChangeResponse(NameChangeResponseEvent),4,3,16,12,"3,02%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.GameScreenController.handleOtherAction(),4,3,8,4,"1,51%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.GameScreenController.handleResourceOverview(),4,3,8,4,"1,51%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.GameScreenController.initialize(),5,3,19,14,"3,59%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.GameScreenController.initializeCardHands(),5,3,18,13,"3,40%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.GameScreenController.initializeChat(),7,3,36,29,"6,81%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.GameScreenController.initializeGameCanvas(),9,3,35,26,"6,62%"
"ch.unibas.dmi.dbis.cs108.client.ui.controllers.GameScreenController.setupCardPane(Pane, String)",3,3,20,17,"3,78%"
"ch.unibas.dmi.dbis.cs108.client.ui.controllers.GameScreenController.showError(String, String)",3,3,12,9,"2,27%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.MainMenuController.MainMenuController(),0,0,3,3,"20,00%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.MainMenuController.handlePlayGame(),0,0,5,5,"33,33%"
ch.unibas.dmi.dbis.cs108.client.ui.controllers.MainMenuController.initialize(),0,0,4,4,"26,67%"
"ch.unibas.dmi.dbis.cs108.client.ui.events.ChatMessageEvent.ChatMessageEvent(String, ChatType)",4,6,10,4,"31,25%"
ch.unibas.dmi.dbis.cs108.client.ui.events.ChatMessageEvent.getMessage(),3,4,7,3,"21,88%"
ch.unibas.dmi.dbis.cs108.client.ui.events.ChatMessageEvent.getType(),3,4,7,3,"21,88%"
"ch.unibas.dmi.dbis.cs108.client.ui.events.ConnectionStatusEvent.ConnectionStatusEvent(ConnectionState, String)",4,6,10,4,"30,30%"
ch.unibas.dmi.dbis.cs108.client.ui.events.ConnectionStatusEvent.getMessage(),4,5,8,3,"24,24%"
ch.unibas.dmi.dbis.cs108.client.ui.events.ConnectionStatusEvent.getStatus(),4,5,8,3,"24,24%"
"ch.unibas.dmi.dbis.cs108.client.ui.events.ErrorEvent.ErrorEvent(String, String, ErrorSeverity)",4,7,12,5,"22,22%"
ch.unibas.dmi.dbis.cs108.client.ui.events.ErrorEvent.getErrorCode(),4,5,8,3,"14,81%"
ch.unibas.dmi.dbis.cs108.client.ui.events.ErrorEvent.getErrorMessage(),4,5,8,3,"14,81%"
ch.unibas.dmi.dbis.cs108.client.ui.events.ErrorEvent.getSeverity(),4,5,8,3,"14,81%"
ch.unibas.dmi.dbis.cs108.client.ui.events.ErrorEvent.getTimestamp(),4,5,8,3,"14,81%"
ch.unibas.dmi.dbis.cs108.client.ui.events.NameChangeRequestEvent.NameChangeRequestEvent(String),0,0,3,3,"33,33%"
ch.unibas.dmi.dbis.cs108.client.ui.events.NameChangeRequestEvent.getNewName(),0,0,3,3,"33,33%"
"ch.unibas.dmi.dbis.cs108.client.ui.events.NameChangeResponseEvent.NameChangeResponseEvent(boolean, String, String)",0,0,5,5,"26,32%"
ch.unibas.dmi.dbis.cs108.client.ui.events.NameChangeResponseEvent.getMessage(),0,0,3,3,"15,79%"
ch.unibas.dmi.dbis.cs108.client.ui.events.NameChangeResponseEvent.getNewName(),0,0,3,3,"15,79%"
ch.unibas.dmi.dbis.cs108.client.ui.events.NameChangeResponseEvent.isSuccess(),0,0,3,3,"15,79%"
ch.unibas.dmi.dbis.cs108.client.ui.events.ReceiveCommandEvent.ReceiveCommandEvent(String),1,0,5,4,"26,32%"
ch.unibas.dmi.dbis.cs108.client.ui.events.ReceiveCommandEvent.getMessage(),0,0,3,3,"15,79%"
ch.unibas.dmi.dbis.cs108.client.ui.events.ReceiveCommandEvent.getType(),0,0,3,3,"15,79%"
"ch.unibas.dmi.dbis.cs108.client.ui.events.SendChatEvent.SendChatEvent(String, ChatType)",0,0,3,3,"12,00%"
"ch.unibas.dmi.dbis.cs108.client.ui.events.SendChatEvent.SendChatEvent(String, ChatType, String)",0,0,5,5,"20,00%"
ch.unibas.dmi.dbis.cs108.client.ui.events.SendChatEvent.getMessage(),0,0,3,3,"12,00%"
ch.unibas.dmi.dbis.cs108.client.ui.events.SendChatEvent.getRecipient(),0,0,3,3,"12,00%"
ch.unibas.dmi.dbis.cs108.client.ui.events.SendChatEvent.getType(),0,0,3,3,"12,00%"
ch.unibas.dmi.dbis.cs108.client.ui.events.SendCommandEvent.CommandType.CommandType(String),0,0,3,3,"7,14%"
ch.unibas.dmi.dbis.cs108.client.ui.events.SendCommandEvent.CommandType.fromCommand(String),0,0,8,8,"19,05%"
ch.unibas.dmi.dbis.cs108.client.ui.events.SendCommandEvent.CommandType.getCommand(),0,0,3,3,"7,14%"
ch.unibas.dmi.dbis.cs108.client.ui.events.SendCommandEvent.SendCommandEvent(String),0,0,4,4,"7,14%"
ch.unibas.dmi.dbis.cs108.client.ui.events.SendCommandEvent.getMessage(),0,0,3,3,"5,36%"
ch.unibas.dmi.dbis.cs108.client.ui.events.SendCommandEvent.getType(),0,0,3,3,"5,36%"
ch.unibas.dmi.dbis.cs108.client.ui.events.UIEventBus.EventListener.onEvent(T),0,n/a,n/a,1,"33,33%"
ch.unibas.dmi.dbis.cs108.client.ui.events.UIEventBus.UIEventBus(),0,0,2,2,"5,88%"
ch.unibas.dmi.dbis.cs108.client.ui.events.UIEventBus.getInstance(),0,0,6,6,"17,65%"
ch.unibas.dmi.dbis.cs108.client.ui.events.UIEventBus.publish(T),0,0,10,10,"29,41%"
"ch.unibas.dmi.dbis.cs108.client.ui.events.UIEventBus.subscribe(Class<T>, EventListener<T>)",0,0,3,3,"8,82%"
"ch.unibas.dmi.dbis.cs108.client.ui.events.UIEventBus.unsubscribe(Class<T>, EventListener<T>)",0,0,6,6,"17,65%"
